Names;PartyNm;Provinces
Teuku Riefky Harsa;Partai Demokrat;Aceh 1
Irmawan;Partai Kebangkitan Bangsa;Aceh 1
Muhammad Nasir Djamil;Partai Keadilan Sejahtera;Aceh 1
Bachtiar Aly;Partai NasDem;Aceh 1
Muslim Ayub;Partai Amanat Nasional;Aceh 1
Fadhullah;Partai Gerakan Indonesia Raya;Aceh 1
Salim Fakhry;Partai Golongan Karya;Aceh 1
Muslim;Partai Demokrat;Aceh 2
Zulfan Lindan;Partai NasDem;Aceh 2
Anwar Idris;Partai Persatuan Pembangunan;Aceh 2
Khaidir;Partai Gerakan Indonesia Raya;Aceh 2
Firmandez;Partai Golongan Karya;Aceh 2
Tagore Abubakar;Partai Demokrasi Indonesia Perjuangan;Aceh 2
Abdul Wahab Dalimunthe;Partai Demokrat;SumatraUtara 1
Nurdin Tampubolon;Partai Hati Nurani Rakyat;SumatraUtara 1
Tifatul Sembiring;Partai Keadilan Sejahtera;SumatraUtara 1
Prananda Surya Paloh;Partai NasDem;SumatraUtara 1
Hasrul Azwar;Partai Persatuan Pembangunan;SumatraUtara 1
Mulfachri Harahap;Partai Amanat Nasional;SumatraUtara 1
Muhammad Syafii;Partai Gerakan Indonesia Raya;SumatraUtara 1
Meutya Hafid;Partai Golongan Karya;SumatraUtara 1
Irmadi Lubis;Partai Demokrasi Indonesia Perjuangan;SumatraUtara 1
Sofyan Tan;Partai Demokrasi Indonesia Perjuangan;SumatraUtara 1
Jhoni Allen Marbun;Partai Demokrat;SumatraUtara 2
Erik Adtrada Ritonga;Partai Hati Nurani Rakyat;SumatraUtara 2
Marwan Dasopang;Partai Kebangkitan Bangsa;SumatraUtara 2
Iskan Qolba Lubis;Partai Keadilan Sejahtera;SumatraUtara 2
Sahat Silaban;Partai NasDem;SumatraUtara 2
Saleh Partaonan Daulay;Partai Amanat Nasional;SumatraUtara 2
Gus Irawan Pasaribu;Partai Gerakan Indonesia Raya;SumatraUtara 2
Salomo Parlindungan Hutabarat;Partai Gerakan Indonesia Raya;SumatraUtara 2
Rambe Kamarul Zaman;Partai Golongan Karya;SumatraUtara 2
Trimedya Panjaitan;Partai Demokrasi Indonesia Perjuangan;SumatraUtara 2
Hinca Panjaitan;Partai Demokrat;Sumatra Utara 3
