No,Provinces,ID
1,Aceh,11
2,Sumatera Utara,12
3,Sumatera Barat,13
4,Riau,14
5,Jambi,15
6,Sumatera Selatan,16
7,Bengkulu,17
8,Lampung,18
9,Kep.Bangka Belitung,19
10,Kep.Riau,21
11,Dki Jakarta,31
12,Jawa Barat,32
13,Jawa Tengah,33
14,DI Yogyakarta,34
15,Jawa Timur,35
16, Banten,36
17,Bali,51
18,Nusa Tenggara Barat,52
19,Nusa Tenggara Timur,53
20,Kalimantan Barat,61
21,Kalimantan Tengah,62
22,Kalimantan Selatan,63
23,Kalimantan Timur,64
24,Sulawesi Utara,71
25,Sulawesi Tengah,72
26,Sulawesi Selatan,73
27,Sulawesi Tenggara,74
28,Gorontalo,75
29,Sulawesi Barat,76
30,Maluku,81
31,Maluku Utara,82
32,Papua Barat,92
33,Papua,91
