CA2015,farmersandfisherman,merchant,governmentemployees,privateemployees,entrepreneur,freelancer
CA11,1784443.00,1832767.00,4136650.00,2749738.06,5640215.18,1381240.45
CA12,1876295.00,2299016.00,3537924.00,2953197.38,4623106.48,1664479.83
CA13,1949870.00,1855687.00,3516153.00,3222303.74,6448722.63,1659704.19
CA14,2015225.00,2268637.00,4090763.00,2956787.89,3617552.77,1564477.46
CA15,1439949.00,1909108.00,3722985.00,3036270.06,5013350.26,1291745.34
CA16,1199776.00,1882640.00,4307505.00,3321221.76,5342573.68,1360840.68
CA17,1705925.00,1965971.00,3133974.00,3111542.16,5468974.01,1599079.98
CA18,1485055.00,1928963.00,3442489.00,2846843.32,4940571.09,1296660.70
CA19,2034130.00,1918879.00,4572087.00,3214578.32,4955221.25,1483283.30
CA21,1801224.00,3144120.00,425164.00,4709887.04,6052596.33,2249728.86
CA31,5984066.00,3779585.00,6053158.00,5507116.93,14111354.15,2635688.30
CA32,1568095.00,2777710.00,4393421.00,4053872.54,9025386.70,2291255.78
CA33,1420659.00,1725915.00,3728035.00,2866721.73,5319377.97,1336364.87
CA34,1418990.00,2019682.00,3069927.00,3105043.66,10069555.24,1435007.09
CA35,1190930.00,1929317.00,5945763.00,2806781.13,5788695.58,1467722.78
CA36,2353429.00,3394392.00,3483495.00,5858519.59,8113261.68,2464624.49
CA51,1814964.00,2266247.00,3529577.00,3886463.53,5690112.01,2345171.65
CA52,1627673.00,1367735.00,2899658.00,2456008.41,7206501.84,1265903.40
CA53,1115728.00,1646686.00,2782500.00,2254250.49,4693274.11,1370790.10
CA61,1898800.00,2014692.00,3396407.00,3231970.01,4234094.31,1435128.23
CA62,2247050.00,2030360.00,4017653.00,3468865.28,5122421.58,1743432.64
CA63,1948804.00,2106191.00,4071334.00,3179126.30,7806350.77,1518925.06
CA64,2883065.00,2843298.00,4220131.00,4648593.48,9239795.52,2199613.64
CA65,2239369.00,2596759.00,4220131.00,3663406.36,6326676.47,1813174.28
CA71,1795911.00,2505752.00,4686316.00,3740863.68,5114130.93,2290207.89
CA72,1180390.00,1828487.00,3260895.00,2618805.55,6567802.35,1237808.22
CA73,1446522.00,2319835.00,4393421.00,3290307.77,6117178.46,1730020.42
CA74,1501416.00,2361948.00,3612368.00,3125225.73,5509743.61,1975829.76
CA75,1641929.00,1563214.00,3661184.00,3287649.57,3725520.55,1115997.45
CA76,1879924.00,1700599.00,3639705.00,2272998.83,5515856.78,1568242.47
CA81,1563778.00,1995061.00,3465921.00,3018298.28,4842295.80,1553731.87
CA82,1368590.00,1754962.00,3282893.00,2706847.96,5158030.68,1753126.69
CA91,1960585.00,2359289.00,4785451.00,3320134.88,5731785.56,2875874.97
CA92,2820472.00,2490175.00,4368037.00,4071977.89,5407219.39,3131953.44
