Names,PartyNm,Electorate,Provinces
Tagore Abubakar,Partai Demokrasi Indonesia Perjuangan,Aceh I,Aceh
Sofyan Tan,Partai Demokrasi Indonesia Perjuangan,Sumatera Utara I,Sumatera Utara
Irmadi Lubis ,Partai Demokrasi Indonesia Perjuangan,Sumatera Utara I,Sumatera Utara
Trimedya Panjaitan,Partai Demokrasi Indonesia Perjuangan,Sumatera Utara II,Sumatera Utara
Junimart Girsang,Partai Demokrasi Indonesia Perjuangan,Sumatera Utara III,Sumatera Utara
Agus Susanto,Partai Demokrasi Indonesia Perjuangan,Sumatera Barat II,Sumatera Barat
Effendy Sianipar,Partai Demokrasi Indonesia Perjuangan,Riau I,Riau
Marsiaman Saragih,Partai Demokrasi Indonesia Perjuangan,Riau II,Riau
Ihsan Yunus,Partai Demokrasi Indonesia Perjuangan,Jambi,Jambi
Nazarudin Kiemas,Partai Demokrasi Indonesia Perjuangan,Sumatera Selatan I,Sumatera Selatan
Erwin M Singaruju,Partai Demokrasi Indonesia Perjuangan,Sumatera Selatan II,Sumatera Selatan
Yulian Gunhar,Partai Demokrasi Indonesia Perjuangan,Sumatera Selatan II,Sumatera Selatan
Elva Hartati,Partai Demokrasi Indonesia Perjuangan,Bengkulu,Bengkulu
Isma Yatun,Partai Demokrasi Indonesia Perjuangan,Lampung I,Lampung
Sudin,Partai Demokrasi Indonesia Perjuangan,Lampung I,Lampung
Henry Yosodiningrat,Partai Demokrasi Indonesia Perjuangan,Lampung II,Lampung
Itet Tridjajati Sumarijanto,Partai Demokrasi Indonesia Perjuangan,Lampung II,Lampung
Rudianto Tjen ,Partai Demokrasi Indonesia Perjuangan,Bangka Belitung,Kep. Bangka Belitung
Dwi Ria Latifa,Partai Demokrasi Indonesia Perjuangan,Kepulauan Riau,Kep.Riau
Wiryanti Sukamdani,Partai Demokrasi Indonesia Perjuangan,Jakarta I,Dki Jakarta
Eriko Sotarduga ,Partai Demokrasi Indonesia Perjuangan,Jakarta II,Dki Jakarta
Masinton Pasaribu,Partai Demokrasi Indonesia Perjuangan,Jakarta II,Dki Jakarta
Charles Honoris,Partai Demokrasi Indonesia Perjuangan,Jakarta III,Dki Jakarta
Effendi MS Simbolon,Partai Demokrasi Indonesia Perjuangan,Jakarta III,Dki Jakarta
Darmadi Durianto,Partai Demokrasi Indonesia Perjuangan,Jakarta III,Dki Jakarta
Junico BP Siahaan,Partai Demokrasi Indonesia Perjuangan,Jawa Barat I,Jawa Barat
Ketut Sustiawan,Partai Demokrasi Indonesia Perjuangan,Jawa Barat I,Jawa Barat
Yadi Srimulyadi,Partai Demokrasi Indonesia Perjuangan,Jawa Barat II,Jawa Barat
Jalaludin Rakhmat,Partai Demokrasi Indonesia Perjuangan,Jawa Barat II,Jawa Barat
Diah Pitaloka,Partai Demokrasi Indonesia Perjuangan,Jawa Barat III,Jawa Barat
Ribka Tjiptaning,Partai Demokrasi Indonesia Perjuangan,Jawa Barat IV,Jawa Barat
Adian Yunus Yusak Napitupulu,Partai Demokrasi Indonesia Perjuangan,Jawa Barat V,Jawa Barat
Indra P Simatupang,Partai Demokrasi Indonesia Perjuangan,Jawa Barat V,Jawa Barat
Sukur Nababan,Partai Demokrasi Indonesia Perjuangan,Jawa Barat VI,Jawa Barat
Risa Mariska,Partai Demokrasi Indonesia Perjuangan,Jawa Barat VI,Jawa Barat
Rieke Diah Pitaloka,Partai Demokrasi Indonesia Perjuangan,Jawa Barat VII,Jawa Barat
Tono Bahtiar,Partai Demokrasi Indonesia Perjuangan,Jawa Barat VII,Jawa Barat
Ono Surono,Partai Demokrasi Indonesia Perjuangan,Jawa Barat VIII,Jawa Barat
Yoseph Umarhadi,Partai Demokrasi Indonesia Perjuangan,Jawa Barat VIII,Jawa Barat
Maruarar Sirait,Partai Demokrasi Indonesia Perjuangan,Jawa Barat IX,Jawa Barat
TB Hasanuddin,Partai Demokrasi Indonesia Perjuangan,Jawa Barat IX,Jawa Barat
Puti Guntur Soekarno,Partai Demokrasi Indonesia Perjuangan,Jawa Barat X,Jawa Barat
Dony Maryadi Oekon,Partai Demokrasi Indonesia Perjuangan,Jawa Barat II,Jawa Barat
Juliari P Batubara,Partai Demokrasi Indonesia Perjuangan,Jawa Tengah I,Jawa Tengah
Tjahjo Kumolo,Partai Demokrasi Indonesia Perjuangan,Jawa Tengah I,Jawa Tengah
Daryatmo Mardiyanto,Partai Demokrasi Indonesia Perjuangan,Jawa Tengah II,Jawa Tengah
Imam Suroso,Partai Demokrasi Indonesia Perjuangan,Jawa Tengah III,Jawa Tengah
Evita Nursanty,Partai Demokrasi Indonesia Perjuangan,Jawa Tengah III,Jawa Tengah
Bambang Wuryanto,Partai Demokrasi Indonesia Perjuangan,Jawa Tengah IV,Jawa Tengah
Agustina Wilujeng Pramestuti,Partai Demokrasi Indonesia Perjuangan,Jawa Tengah IV,Jawa Tengah
Puan Maharani,Partai Demokrasi Indonesia Perjuangan,Jawa Tengah V,Jawa Tengah
Aria Bima,Partai Demokrasi Indonesia Perjuangan,Jawa Tengah V,Jawa Tengah
Rahmad Handoyo,Partai Demokrasi Indonesia Perjuangan,Jawa Tengah V,Jawa Tengah
Sudjadi,Partai Demokrasi Indonesia Perjuangan,Jawa Tengah VI,Jawa Tengah
Nusyirwan Soedjono,Partai Demokrasi Indonesia Perjuangan,Jawa Tengah VI,Jawa Tengah
Utut Adianto,Partai Demokrasi Indonesia Perjuangan,Jawa Tengah VII,Jawa Tengah
Adisatrya Suryo Sulisto,Partai Demokrasi Indonesia Perjuangan,Jawa Tengah VIII,Jawa Tengah
Budiman Sudjatmiko,Partai Demokrasi Indonesia Perjuangan,Jawa Tengah VIII,Jawa Tengah
