Name,PartyNm,Electorate,Provinces,Votes
Tagore Abubakar,Partai Demokrasi Indonesia Perjuangan,Aceh I,Aceh,"64,159"
Sofyan Tan,Partai Demokrasi Indonesia Perjuangan,Sumatera Utara I,Sumatera Utara,"113,716"
Irmadi Lubis ,Partai Demokrasi Indonesia Perjuangan,Sumatera Utara I,Sumatera Utara,"46,039"
Trimedya Panjaitan,Partai Demokrasi Indonesia Perjuangan,Sumatera Utara II,Sumatera Utara,"101,415"
Junimart Girsang,Partai Demokrasi Indonesia Perjuangan,Sumatera Utara III,Sumatera Utara,"76,819"
Agus Susanto,Partai Demokrasi Indonesia Perjuangan,Sumatera Barat II,Sumatera Barat,"39,131"
Effendy Sianipar,Partai Demokrasi Indonesia Perjuangan,Riau I,RIAU,"69,425"
Marsiaman Saragih,Partai Demokrasi Indonesia Perjuangan,Riau II,RIAU,"26,650"
Ihsan Yunus,Partai Demokrasi Indonesia Perjuangan,Jambi,Jambi,"61,648"
Nazarudin Kiemas,Partai Demokrasi Indonesia Perjuangan,Sumatera Selatan I,Sumatera Selatan,"59,930"
Erwin M Singaruju,Partai Demokrasi Indonesia Perjuangan,Sumatera Selatan II,Sumatera Selatan,"81,644"
Yulian Gunhar,Partai Demokrasi Indonesia Perjuangan,Sumatera Selatan II,Sumatera Selatan,"44,192"
Elva Hartati,Partai Demokrasi Indonesia Perjuangan,Bengkulu,Bengkulu,"30,298"
Isma Yatun,Partai Demokrasi Indonesia Perjuangan,Lampung I,Lampung,"65,731"
Sudin,Partai Demokrasi Indonesia Perjuangan,Lampung I,Lampung,"64,008"
Henry Yosodiningrat,Partai Demokrasi Indonesia Perjuangan,Lampung II,Lampung,"54,022"
Itet Tridjajati Sumarijanto,Partai Demokrasi Indonesia Perjuangan,Lampung II,Lampung,"40,203"
Rudianto Tjen ,Partai Demokrasi Indonesia Perjuangan,Bangka Belitung,Bangka Belitung,"72,400"
Dwi Ria Latifa,Partai Demokrasi Indonesia Perjuangan,Kepulauan Riau,Kepulauan Riau,"48,579"
Wiryanti Sukamdani,Partai Demokrasi Indonesia Perjuangan,Jakarta I,DKI Jakarta,"30,691"
Eriko Sotarduga ,Partai Demokrasi Indonesia Perjuangan,Jakarta II,DKI Jakarta,"61,888"
Masinton Pasaribu,Partai Demokrasi Indonesia Perjuangan,Jakarta II,DKI Jakarta,"30,989"
Charles Honoris,Partai Demokrasi Indonesia Perjuangan,Jakarta III,DKI Jakarta,"96,842"
Effendi MS Simbolon,Partai Demokrasi Indonesia Perjuangan,Jakarta III,DKI Jakarta,"89,028"
Darmadi Durianto,Partai Demokrasi Indonesia Perjuangan,Jakarta III,DKI Jakarta,"52,861"
Junico BP Siahaan,Partai Demokrasi Indonesia Perjuangan,Jawa Barat I,Jawa Barat,"64,980"
Ketut Sustiawan,Partai Demokrasi Indonesia Perjuangan,Jawa Barat I,Jawa Barat,"32,234"
Yadi Srimulyadi,Partai Demokrasi Indonesia Perjuangan,Jawa Barat II,Jawa Barat,"59,842"
Jalaludin Rakhmat,Partai Demokrasi Indonesia Perjuangan,Jawa Barat II,Jawa Barat,"56,402"
