Provinces;PartyNm;Totseats;;;;;;;;;;;;;;
Aceh;Partai Nasdem;2;;;;;;;;;;;;;;
Aceh;Partai Kebangkitan Bangsa;1;;;;;;;;;;;;;;
Aceh;Partai Keadilan Sejahtera;1;;;;;;;;;;;;;;
Aceh;Partai Demokrasi Indonesia Perjuangan;1;;;;;;;;;;;;;;
Aceh;Partai Golongan Karya;2;;;;;;;;;;;;;;
Aceh;Partai Gerakan Indonesia Raya;2;;;;;;;;;;;;;;
Aceh;Partai Demokrat;2;;;;;;;;;;;;;;
Aceh;Partai Amanat Nasional;1;;;;;;;;;;;;;;
Aceh;Partai Persatuan Pembangunan;1;;;;;;;;;;;;;;
Aceh;Partai Hati Nurani Rakyat;0;;;;;;;;;;;;;;
Aceh;Partai Bulan Bintang;0;;;;;;;;;;;;;;
Aceh;Partai keadilan dan persatuan Indonesia;0;;;;;;;;;;;;;;
Sumatra Utara ;Partai Nasdem;3;;;;;;;;;;;;;;
Sumatra Utara ;Partai Kebangkitan Bangsa;1;;;;;;;;;;;;;;
Sumatra Utara ;Partai Keadilan Sejahtera;3;;;;;;;;;;;;;;
Sumatra Utara ;Partai Demokrasi Indonesia Perjuangan;4;;;;;;;;;;;;;;
Sumatra Utara ;Partai Golongan Karya;4;;;;;;;;;;;;;;
Sumatra Utara ;Partai Gerakan Indonesia Raya;4;;;;;;;;;;;;;;
Sumatra Utara ;Partai Demokrat;3;;;;;;;;;;;;;;
Sumatra Utara ;Partai Amanat Nasional;3;;;;;;;;;;;;;;
Sumatra Utara ;Partai Persatuan Pembangunan;2;;;;;;;;;;;;;;
Sumatra Utara ;Partai Hati Nurani Rakyat;3;;;;;;;;;;;;;;
Sumatra Utara ;Partai Bulan Bintang;0;;;;;;;;;;;;;;
Sumatra Utara ;Partai keadilan dan persatuan Indonesia;0;;;;;;;;;;;;;;
Sumatra Barat;Partai Nasdem;1;;;;;;;;;;;;;;
Sumatra Barat;Partai Kebangkitan Bangsa;0;;;;;;;;;;;;;;
Sumatra Barat;Partai Keadilan Sejahtera;2;;;;;;;;;;;;;;
Sumatra Barat;Partai Demokrasi Indonesia Perjuangan;2;;;;;;;;;;;;;;
Sumatra Barat;Partai Golongan Karya;2;;;;;;;;;;;;;;
Sumatra Barat;Partai Gerakan Indonesia Raya;2;;;;;;;;;;;;;;
Sumatra Barat;Partai Demokrat;2;;;;;;;;;;;;;;
Sumatra Barat;Partai Amanat Nasional;1;;;;;;;;;;;;;;
Sumatra Barat;Partai Persatuan Pembangunan;2;;;;;;;;;;;;;;
Sumatra Barat;Partai Hati Nurani Rakyat;0;;;;;;;;;;;;;;
Sumatra Barat;Partai Bulan Bintang;0;;;;;;;;;;;;;;
Sumatra Barat;Partai keadilan dan persatuan Indonesia;0;;;;;;;;;;;;;;
Riau;Partai Nasdem;0;;;;;;;;;;;;;;
Riau;Partai Kebangkitan Bangsa;1;;;;;;;;;;;;;;
Riau;Partai Keadilan Sejahtera;1;;;;;;;;;;;;;;
Riau;Partai Demokrasi Indonesia Perjuangan;2;;;;;;;;;;;;;;
Riau;Partai Golongan Karya;2;;;;;;;;;;;;;;
Riau;Partai Gerakan Indonesia Raya;2;;;;;;;;;;;;;;
Riau;Partai Demokrat;2;;;;;;;;;;;;;;
Riau;Partai Amanat Nasional;1;;;;;;;;;;;;;;
Riau;Partai Persatuan Pembangunan;0;;;;;;;;;;;;;;
Riau;Partai Hati Nurani Rakyat;0;;;;;;;;;;;;;;
Riau;Partai Bulan Bintang;0;;;;;;;;;;;;;;
Riau;Partai keadilan dan persatuan Indonesia;0;;;;;;;;;;;;;;
Kepulauan Riau;Partai Nasdem;1;;;;;;;;;;;;;;
Kepulauan Riau;Partai Kebangkitan Bangsa;0;;;;;;;;;;;;;;
Kepulauan Riau;Partai Keadilan Sejahtera;0;;;;;;;;;;;;;;
Kepulauan Riau;Partai Demokrasi Indonesia Perjuangan;1;;;;;;;;;;;;;;
Kepulauan Riau;Partai Golongan Karya;0;;;;;;;;;;;;;;
Kepulauan Riau;Partai Gerakan Indonesia Raya;0;;;;;;;;;;;;;;
Kepulauan Riau;Partai Demokrat;0;;;;;;;;;;;;;;
Kepulauan Riau;Partai Amanat Nasional;1;;;;;;;;;;;;;;
Kepulauan Riau;Partai Persatuan Pembangunan;0;;;;;;;;;;;;;;
Kepulauan Riau;Partai Hati Nurani Rakyat;0;;;;;;;;;;;;;;
Kepulauan Riau;Partai Bulan Bintang;0;;;;;;;;;;;;;;
Kepulauan Riau;Partai keadilan dan persatuan Indonesia;0;;;;;;;;;;;;;;
Jambi;Partai Nasdem;0;;;;;;;;;;;;;;
Jambi;Partai Kebangkitan Bangsa;1;;;;;;;;;;;;;;
Jambi;Partai Keadilan Sejahtera;0;;;;;;;;;;;;;;
Jambi;Partai Demokrasi Indonesia Perjuangan;1;;;;;;;;;;;;;;
Jambi;Partai Golongan Karya;2;;;;;;;;;;;;;;
Jambi;Partai Gerakan Indonesia Raya;2;;;;;;;;;;;;;;
Jambi;Partai Demokrat;2;;;;;;;;;;;;;;
Jambi;Partai Amanat Nasional;2;;;;;;;;;;;;;;
Jambi;Partai Persatuan Pembangunan;1;;;;;;;;;;;;;;
Jambi;Partai Hati Nurani Rakyat;0;;;;;;;;;;;;;;
Jambi;Partai Bulan Bintang;0;;;;;;;;;;;;;;
Jambi;Partai keadilan dan persatuan Indonesia;0;;;;;;;;;;;;;;
Sumatra Selatan;Partai Nasdem;1;;;;;;;;;;;;;;
Sumatra Selatan;Partai Kebangkitan Bangsa;1;;;;;;;;;;;;;;
Sumatra Selatan;Partai Keadilan Sejahtera;2;;;;;;;;;;;;;;
Sumatra Selatan;Partai Demokrasi Indonesia Perjuangan;3;;;;;;;;;;;;;;
Sumatra Selatan;Partai Golongan Karya;3;;;;;;;;;;;;;;
Sumatra Selatan;Partai Gerakan Indonesia Raya;2;;;;;;;;;;;;;;
Sumatra Selatan;Partai Demokrat;2;;;;;;;;;;;;;;
Sumatra Selatan;Partai Amanat Nasional;2;;;;;;;;;;;;;;
Sumatra Selatan;Partai Persatuan Pembangunan;0;;;;;;;;;;;;;;
Sumatra Selatan;Partai Hati Nurani Rakyat;1;;;;;;;;;;;;;;
Sumatra Selatan;Partai Bulan Bintang;0;;;;;;;;;;;;;;
Sumatra Selatan;Partai keadilan dan persatuan Indonesia;0;;;;;;;;;;;;;;
Bangka Belitung;Partai Nasdem;0;;;;;;;;;;;;;;
Bangka Belitung;Partai Kebangkitan Bangsa;0;;;;;;;;;;;;;;
Bangka Belitung;Partai Keadilan Sejahtera;0;;;;;;;;;;;;;;
Bangka Belitung;Partai Demokrasi Indonesia Perjuangan;1;;;;;;;;;;;;;;
Bangka Belitung;Partai Golongan Karya;1;;;;;;;;;;;;;;
